,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
0,280,4,0.001,0.1,1,0.0,10,3.017439145792962,0.57665,1.5707963267948966
1,311,4,0.001,45.1,1,0.0,10,3.567712156599984,0.57665,1.5707963267948966
2,342,4,0.001,90.1,1,0.0,10,1.3998190628905784,0.57665,1.5707963267948966
3,1210,4,10.0,0.1,1,0.0,10,1100.5975188157022,11.707235807089528,1.8084191975734816
4,1241,4,10.0,45.1,1,0.0,10,1603.5616076226302,10.944799927719775,1.8437978193288156
5,1272,4,10.0,90.1,1,0.0,10,543.7804132030352,6.681995842941682,1.9557450115158823
6,2140,4,25.0,0.1,1,0.0,10,4009.156876943097,17.936727082200886,1.7877361058910823
7,2171,4,25.0,45.1,1,0.0,10,6526.298507425013,21.136429699929117,1.8936919594678518
8,2202,4,25.0,90.1,1,0.0,10,2392.956601358432,9.736007937741087,1.8835322159251875
9,3070,4,40.0,0.1,1,0.0,10,9.628185288761241,1.030822556654854,1.7897448043184578
10,3101,4,40.0,45.1,1,0.0,10,1724.5319546764008,9.207789695064765,1.7152285497653632
11,3132,4,40.0,90.1,1,0.0,10,17.146605290404352,1.3512095658644825,1.869292328217859
12,4000,4,50.0,0.1,1,0.0,10,153.31906196105675,1.7275372606745465,2.704067079875792
13,4031,4,50.0,45.1,1,0.0,10,218.22061461241907,4.913488691484134,2.2408229385217613
14,4062,4,50.0,90.1,1,0.0,10,563.7853961487126,10.515529363141377,1.9185744739219324
15,281,4,0.001,0.1,2,1760.3,10,692.3095795270526,8.397683073436863,2.031058478209887
16,312,4,0.001,45.1,2,1760.3,10,572.8273560095356,9.87537539390034,2.0918548085435242
17,343,4,0.001,90.1,2,1760.3,10,456.1928590008597,7.6536317890768535,2.1981064894399682
18,1211,4,10.0,0.1,2,1760.3,10,30.849096542029493,0.7477245679095392,1.7676942937612876
19,1242,4,10.0,45.1,2,1760.3,10,310.5896172214344,4.82549594910934,1.7242601772135304
20,1273,4,10.0,90.1,2,1760.3,10,13.187522719561937,1.1496019887799682,1.6402875860841721
21,2141,4,25.0,0.1,2,1760.3,10,340.90658124605085,7.509004795591403,2.041518025649376
