,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,838,11,0.001,0.1,1,0.0,10,28300.082284669086,563.3169801652705,984.5969979330997,1.299616977043018e-09,4.106025140761697,5.191778585005117
1,869,11,0.001,45.1,1,0.0,10,34637.80617135964,562.8234414138658,989.4543432035705,1.8147228034082738e-09,5.517578160194386,4.394085377244792
2,900,11,0.001,90.1,1,0.0,10,25300.773919499905,562.6528177980175,988.6987310430666,1.464833373369022e-08,5.41023344552844,4.298384788835502
3,1768,11,10.0,0.1,1,0.0,10,23811.10328617948,490.97268052683916,789.390605320302,1.9961359941932951e-07,20.457114270844084,17.567112454053856
4,1799,11,10.0,45.1,1,0.0,10,37667.01758798361,490.37552692031437,788.8641842842808,1.5793244815258608e-07,20.51663835273397,17.60632585131337
5,1830,11,10.0,90.1,1,0.0,10,44650.77339911766,488.9726294795642,792.1188189482443,1.8507608682889663e-07,20.81398716670567,17.85615538895861
6,2698,11,25.0,0.1,1,0.0,10,24893.24239577566,579.1679389261078,669.9536390466549,2.53546757123798e-07,24.242841734647044,19.237796048388574
7,2729,11,25.0,45.1,1,0.0,10,23480.638169666712,580.2506903427136,670.0882380610634,4.0207930561637574e-07,23.886908210525082,18.986513353149487
8,2760,11,25.0,90.1,1,0.0,10,26514.317389818956,579.9306671985574,670.0708173487262,3.330233710864864e-07,19.00058975356304,23.915835841984855
9,3628,11,40.0,0.1,1,0.0,10,32496.292317668835,499.8011604749318,768.8153809072418,1.0328476420779447e-07,25.46996694910577,19.972808408509895
10,3659,11,40.0,45.1,1,0.0,10,26193.889772783637,500.54963412500655,769.8822637643318,1.9279875653883373e-07,19.72946114934693,25.074928180967714
11,3690,11,40.0,90.1,1,0.0,10,27519.282178306097,501.4072351277362,770.0476986595204,3.125499386287942e-07,19.526207788690005,24.76099853010327
12,4558,11,50.0,0.1,1,0.0,10,23167.618012246032,652.5734432639125,617.8465756468781,3.0849996499887754e-07,23.13525316010042,20.95424191985939
13,4589,11,50.0,45.1,1,0.0,10,27240.567444060172,654.3738551643279,617.0753171316852,1.2319627761346707e-07,20.55781767850918,22.70641560830526
14,4620,11,50.0,90.1,1,0.0,10,23176.101057105236,654.96236545166,617.1112930882454,2.3708123379660902e-07,22.197802649627405,20.0679530012005
15,839,11,0.001,0.1,2,1760.3,10,29278.185343445726,701.9505266844018,748.5300411021768,1.3650147690653565e-07,46.28251164351535,33.14011494803452
16,870,11,0.001,45.1,2,1760.3,10,20807.371752422347,691.04884238206,746.6668757791606,7.95331561967854e-08,16.213677232544477,20.53784470173971
17,901,11,0.001,90.1,2,1760.3,10,26485.215313109227,691.2509554552136,747.3485577420098,3.450779950351541e-08,19.945390840943126,15.818021599218158
18,1769,11,10.0,0.1,2,1760.3,10,23932.14065848808,683.5552425173197,624.9368817957802,3.662425290842587e-05,332.6302938444899,209.90659833768945
19,1800,11,10.0,45.1,2,1760.3,10,27922.88082488686,731.8653534187564,603.9005650866283,4.0010065752927467e-07,41.3734967920813,47.48965703736631
20,1831,11,10.0,90.1,2,1760.3,10,30716.981554799157,726.1151520038511,602.7936646743701,1.7108944614003967e-07,21.05450140792288,22.68571500746749
21,2699,11,25.0,0.1,2,1760.3,10,34334.531783045546,624.8221627289688,897.218369689432,1.691554425793744e-08,23.992587139238395,17.981337990079062
22,2730,11,25.0,45.1,2,1760.3,10,25195.05596150396,640.2667644778492,861.0669976577288,3.159397191862541e-06,300.2572474231674,136.07636102091385
23,2761,11,25.0,90.1,2,1760.3,10,27295.486591291206,633.8114637453557,903.3343287357906,3.6400648561982256e-08,35.21367904257004,25.22488436678521
24,3629,11,40.0,0.1,2,1760.3,10,18195.957817013947,501.30669130079235,824.1262047093842,1.375074242799334e-07,14.794418746829418,16.710250476769357
25,3660,11,40.0,45.1,2,1760.3,10,18009.170453755512,501.341956933168,822.950437473753,8.123351841849801e-08,16.853726685305364,15.02225569785681
26,3691,11,40.0,90.1,2,1760.3,10,22587.99485989911,480.3684123936862,819.403818266141,1.2566008122214467e-05,93.20864812840574,50.31624139598662
27,4559,11,50.0,0.1,2,1760.3,10,25572.25265226993,495.68966484285056,897.66155151964,8.663508999264749e-08,61.66112404388481,70.52988784635009
28,4590,11,50.0,45.1,2,1760.3,10,30227.72797098128,497.4878641987167,898.3065429915755,3.6132024215477555e-08,72.23360997703797,62.959140670237545
29,4621,11,50.0,90.1,2,1760.3,10,32577.276940406817,498.9513563059927,901.2222715287915,5.4474103844919645e-08,74.51004191700937,64.33645018198426
30,840,11,0.001,0.1,3,3520.7,10,29938.964183778884,519.0748680243365,731.6091093011363,2.2868656615649778e-08,119.4813828714664,69.50409330941419
31,871,11,0.001,45.1,3,3520.7,10,32109.33395508495,526.5184077966718,746.9010297942009,1.276005836594964e-08,98.14244072957524,60.47046655869858
32,902,11,0.001,90.1,3,3520.7,10,36329.09139452827,531.1425223532477,749.1484048565264,9.336698719576822e-09,98.85887591357906,61.55499240222328
33,1770,11,10.0,0.1,3,3520.7,10,32484.697856417693,586.9533858581351,525.3905523100639,5.552423222019834e-06,119.52977703674559,114.34089848714251
34,1801,11,10.0,45.1,3,3520.7,10,19503.528738406185,656.9140668041172,589.7910759457874,9.631492198994976e-08,109.42916648461296,97.383544165376
35,1832,11,10.0,90.1,3,3520.7,10,23234.710820216864,679.4478281532558,591.4713508514089,2.8301125595399334e-08,79.52842436654561,74.4499508008558
36,2700,11,25.0,0.1,3,3520.7,10,30689.037012723773,509.88654463101415,421.55324070118166,0.00026387637903291434,1346.4352762573455,978.237859239356
37,2731,11,25.0,45.1,3,3520.7,10,28662.64182411441,596.2296927755816,702.076063948609,1.7292539247212262e-05,123.59969099532314,91.99968640521519
38,2762,11,25.0,90.1,3,3520.7,10,18398.599730812068,660.6820095172841,726.1085365390666,1.6754877103491677e-07,112.45737056868698,73.71687406357809
39,3630,11,40.0,0.1,3,3520.7,10,25652.518277753614,303.6580970909352,633.4304021085767,0.00023944860200573678,6159.412195008262,2033.9619491242474
40,3661,11,40.0,45.1,3,3520.7,10,27458.564621455444,350.3359124945566,850.8926337128767,0.00033939547922479595,3848.558442121936,1529.6539303208501
41,3692,11,40.0,90.1,3,3520.7,10,33895.41315366021,528.1839952854631,1380.7043783900085,1.73525626738379e-05,131.7399492925389,102.78413529511487
42,4560,11,50.0,0.1,3,3520.7,10,28322.955588794895,354.22734817721846,2502.2835988000315,6.473619535032313e-05,5009.383721284365,2010.8299846507227
43,4591,11,50.0,45.1,3,3520.7,10,31687.19606934245,334.5184821798402,3059.7629920544614,7.279485036395535e-05,5981.08663789321,2219.042915597781
44,4622,11,50.0,90.1,3,3520.7,10,31727.750992947633,393.20362114800474,1818.1079501516267,8.370651183004538e-05,3426.6050693308744,1666.0590571066377
45,842,11,0.001,0.1,5,4000.5,10,54.29019230441486,1.6820670934175663,1.6826765062725837,5.774921636019707e-06,131326712.27210656,163334.81097463562
46,873,11,0.001,45.1,5,4000.5,10,3.1265762609555208,1.6893141660140083,1.6886190959783252,4.686984248133393e-05,132282699.25717619,150129.4819902417
47,904,11,0.001,90.1,5,4000.5,10,229.84130110910755,529.546419957222,408.54775636334017,1.4611599247320566e-08,2684.9725443009115,2772.19065395365
48,1772,11,10.0,0.1,5,4000.5,10,3.32179218579213,1.533184440979922,1.5648597168782872,3.242555123243987e-05,201319888.01432058,190300.4880489615
49,1803,11,10.0,45.1,5,4000.5,10,5.7196354055588685,1.5391052652910326,1.5724670715028581,0.00012672065676627367,217138383.06167966,234878.31762503958
50,1834,11,10.0,90.1,5,4000.5,10,2.9825184814430963,1.5377889460269352,1.5706044623998887,0.00022725345478311014,216599919.7114245,224318.89894987972
51,2702,11,25.0,0.1,5,4000.5,10,4.020228172564018,1.2700142597398392,1.373442790115671,2.457046516184228e-05,205348304.27187848,174193.2581317766
52,2733,11,25.0,45.1,5,4000.5,10,1.3373423003568676,1.2638559411622428,1.3612779028952229,0.00015774459421016995,192897032.0643741,163262.6966383708
53,2764,11,25.0,90.1,5,4000.5,10,4.439473741289636,1.2757895925815959,1.384609114613436,7.120769518363098e-05,214238165.25869763,183664.1866647157
54,3632,11,40.0,0.1,5,4000.5,10,2.5245022754288002,1.347350598634092,1.4288888135690738,7.92449520116735e-05,69030958.22387666,112031.75550578673
55,3663,11,40.0,45.1,5,4000.5,10,22.02000635443211,1.3528970542761476,1.4292541362439821,3.134118419447099e-05,63740992.04056992,123319.65193381644
56,3694,11,40.0,90.1,5,4000.5,10,19.609480020403293,1.3596823496241919,1.4310791429181382,1.2681251613997435e-05,57534720.45194808,129167.0416061806
57,4562,11,50.0,0.1,5,4000.5,10,5.10181288385421,1.5277112188953013,1.578053111619443,4.949756892955602e-06,34310642.51388916,90705.71719974087
58,4593,11,50.0,45.1,5,4000.5,10,133.78497465010278,1.550320858574734,1.59458487895514,8.309704981830125e-05,37795357.60841782,37376.87213934115
59,4624,11,50.0,90.1,5,4000.5,10,3.519193000646339,1.5677016538526325,1.6074115943391762,4.758305705127841e-05,40271491.91109121,22034.289721036628
60,843,11,0.001,0.1,6,4309.7,10,1.738978365163587,1.6255569032060286,1.6323905541926027,0.0002773836904065287,169361023.7827525,282489.89332781907
61,874,11,0.001,45.1,6,4309.7,10,0.6764685554346701,1.6311098814939273,1.6367120715137664,5.367690452580366e-05,172538722.04162014,274080.4121138693
62,905,11,0.001,90.1,6,4309.7,10,12.169466880455984,1.6453756771271475,1.647983966435724,3.6472483487119664e-06,175773723.1084349,218477.7395082204
63,1773,11,10.0,0.1,6,4309.7,10,1.675890222838727,1.3655359512889942,1.4960377907843456,0.0004079603028135764,282174157.08453244,248335.94444532396
64,1804,11,10.0,45.1,6,4309.7,10,1.658600342501509,1.3540789038487633,1.464251066388794,0.000519267727400056,232792569.812507,226414.20726978037
65,1835,11,10.0,90.1,6,4309.7,10,2.355049249194348,1.349620579237111,1.4577100221992856,0.00039405520957127313,236024090.52634305,254779.68088445053
66,2703,11,25.0,0.1,6,4309.7,10,1.4453443319422852,1.3569808646997463,0.000354028005441907,0.0005682716259337389,266736636.69344985,317747734.30174017
67,2734,11,25.0,45.1,6,4309.7,10,0.592349473694023,1.3521269354967087,0.23779257433395987,0.00024596173287029293,296161438.86045307,163024047.76945782
68,2765,11,25.0,90.1,6,4309.7,10,1.8454372747628134,1.3635758918846745,0.3144609001643497,0.000593279763881849,213318754.64150515,72293221.82723965
69,3633,11,40.0,0.1,6,4309.7,10,523.2768201949062,584.7757941759177,98.6222918085743,1.0366925890180093e-09,94.29998658334583,113.19467205928545
70,3664,11,40.0,45.1,6,4309.7,10,0.28520192776051706,1.3569808026180445,0.00034835238912714567,0.0018778157623742754,317742200.36242473,266730960.93079063
71,3695,11,40.0,90.1,6,4309.7,10,0.8547289870991388,1.352126436558271,0.23779219772930965,0.0011565544628874128,296160275.94520116,163022846.3157408
72,4563,11,50.0,0.1,6,4309.7,10,3605.023789489174,583.7207847167102,95.70134441694414,3.628841448383981e-10,112.38952209646159,93.64519470685606
73,4594,11,50.0,45.1,6,4309.7,10,2101.927833085288,584.769757740343,98.71066314794923,4.032406839518216e-09,113.20130445899244,94.30550425679426
74,4625,11,50.0,90.1,6,4309.7,10,0.9512185083790137,1.3569824702900344,0.0003670419313875847,0.002272165663152698,266709595.1377319,317683499.0385652
75,845,11,0.001,0.1,8,4059.2,10,19673.375599827585,774.2521804556948,556.815560369639,2.603753054330609e-07,33.1410063711558,29.2165262433073
76,876,11,0.001,45.1,8,4059.2,10,18448.453771234213,773.0412324443936,557.8505646365011,3.1140700944437123e-07,32.331824250069694,28.544495670011035
77,907,11,0.001,90.1,8,4059.2,10,17854.621468937585,771.7443945525986,558.6614105956999,3.2340193366804914e-07,31.588335334063327,27.931108952220878
78,1775,11,10.0,0.1,8,4059.2,10,20767.488263034946,665.2744773623075,733.3859990041983,1.2892035640713942e-07,46.71362402875954,44.86133158646391
79,1806,11,10.0,45.1,8,4059.2,10,16282.55670196,650.7622726611235,749.1588979860855,8.165433579813168e-08,29.957143251072512,27.858477471982827
80,1837,11,10.0,90.1,8,4059.2,10,19019.556822791215,650.6607561655031,748.6202169840793,7.941433489153756e-08,27.214054101125406,29.279704017445166
81,2705,11,25.0,0.1,8,4059.2,10,4440.975150604334,726.1439215819989,462.38497914692795,6.351461598920596e-05,80.65393519363147,66.11314321350432
82,2736,11,25.0,45.1,8,4059.2,10,24113.703552438306,753.6466802165191,522.5995333725328,3.784646400196527e-07,48.50150954173402,52.750355478081886
83,2767,11,25.0,90.1,8,4059.2,10,22125.23644722083,760.4584723016652,549.9576763260343,2.3517085434526075e-07,31.757393104828815,33.0780168584617
84,3635,11,40.0,0.1,8,4059.2,10,26896.22033862789,629.1723278404638,854.2290844612002,1.3172443829529203e-08,32.36274540248204,35.22880662265826
85,3666,11,40.0,45.1,8,4059.2,10,10835.401988838206,813.2385989353148,762.1306896789372,5.808275700330953e-06,53.982274115070105,54.43826537409773
86,3697,11,40.0,90.1,8,4059.2,10,21261.785204781238,658.7658066821707,842.7232390573647,3.36445908226621e-08,38.82437875050766,41.98321313617369
87,4565,11,50.0,0.1,8,4059.2,10,18717.914101381488,706.8937873809567,914.9576200524516,9.657479617254883e-08,33.021334183962956,28.639212243862104
88,4596,11,50.0,45.1,8,4059.2,10,16211.530364286935,695.3225180217241,907.0043648484731,6.823727779709313e-08,31.726981900696043,27.580053028294557
89,4627,11,50.0,90.1,8,4059.2,10,11561.803272214896,1022.2095245079878,1108.6079074891886,2.1919214977006745e-05,37.028112980677406,33.42396161954313
